fold,accuracy,mean_accuracy
1,0.8333333333333334,0.7333333333333334
2,0.5,0.7333333333333334
3,0.8333333333333334,0.7333333333333334
4,1.0,0.7333333333333334
5,0.5,0.7333333333333334
